step,total_loss,pde_loss,bc_loss,grad_norm
0.0,4502417.0,0.0006943184416741133,45024.16796875,0.9999999729439747
200.0,3731057.5,3072.00390625,37279.85546875,0.9999999952130292
400.0,3120496.75,19968.904296875,31005.27734375,1.0000001196217068
600.0,2717696.0,37011.89453125,26806.83984375,1.0000001060469312
800.0,2495949.0,75443.109375,24205.060546875,0.9999999411834003
1000.0,2374717.5,102525.09375,22721.923828125,0.9999997060799161
1200.0,2265726.5,105580.7578125,21601.45703125,1.0000002514957027
1400.0,2183769.25,110464.09375,20733.05078125,0.9999998778487359
1600.0,2338651.5,315889.5,20227.62109375,1.0000001911275536
1800.0,2027373.5,74704.984375,19526.685546875,1.000000059054805
1999.0,2021617.125,128056.09375,18935.609375,1.0000000997791485
