step,val_residual_mse,eta_fit,bc_rmse,wall_sec
500,0.190592,0.713961,6.267e-08,108
1000,0.197956,0.691394,6.231e-08,230
1500,0.201935,0.692134,6.239e-08,352
2000,0.187439,0.692323,6.231e-08,465
2500,0.190985,0.692429,6.244e-08,575
3000,0.183947,0.693000,6.235e-08,703
3500,0.183035,0.692962,6.229e-08,816
4000,0.187504,0.692053,6.227e-08,925
4500,0.183297,0.693832,6.233e-08,1038
5000,0.185325,0.692710,6.231e-08,1149
5500,0.181148,0.694286,6.233e-08,1262
6000,0.178932,0.696135,6.237e-08,1373
6500,0.185786,0.693101,6.231e-08,1484
7000,0.178194,0.696298,6.232e-08,1596
7500,0.179345,0.696931,6.234e-08,1709
8000,0.175119,0.699203,6.236e-08,1821
8500,0.174240,0.698252,6.230e-08,1932
9000,0.228781,0.692482,6.281e-08,2044
9500,0.174611,0.699307,6.233e-08,2154
10000,0.189109,0.693447,6.233e-08,2266
10500,0.173846,0.702834,6.232e-08,2379
11000,0.170220,0.702699,6.231e-08,2493
11500,0.183373,0.699036,6.232e-08,2604
12000,0.192996,0.693485,6.228e-08,2717
12500,0.145559,0.780436,6.238e-08,2828
13000,0.111176,0.889480,5.988e-08,2942
13500,0.095729,0.946755,5.889e-08,3054
14000,0.091053,0.984133,5.865e-08,3164
14500,0.086589,0.998370,5.827e-08,3275
15000,0.084770,1.007096,5.800e-08,3388
15500,0.083585,1.005238,5.796e-08,3499
16000,0.081483,1.003975,5.789e-08,3620
16500,0.080396,1.005848,5.763e-08,3732
17000,0.077555,1.006548,5.743e-08,3858
17500,0.076165,1.007100,5.749e-08,3979
18000,0.072278,1.009538,5.705e-08,4114
18500,0.067344,1.014756,5.696e-08,4267
19000,0.059128,1.017516,5.630e-08,4400
19500,0.053677,1.017633,5.591e-08,4540
20000,0.052806,1.016964,5.560e-08,4699
