step,val_residual_mse,eta_fit,wall_sec
500,0.196725,0.692531,127
1000,0.193506,0.690548,237
1500,0.185326,0.691581,379
2000,0.182384,0.692608,530
2500,0.180433,0.694412,665
3000,0.184023,0.695439,801
3500,0.177405,0.694916,960
4000,0.238378,0.693810,1675
4500,0.212395,0.692697,10209
5000,0.207512,0.692514,11913
5500,0.196843,0.692728,12847
6000,0.195009,0.692651,12957
6500,0.194396,0.692627,13051
7000,0.194615,0.693298,13142
7500,0.192118,0.693594,13235
8000,0.190834,0.694268,13336
8500,0.189272,0.695143,13430
9000,0.191727,0.693614,13523
9500,0.189319,0.694923,13614
10000,0.190400,0.697291,13705
10500,0.184840,0.698446,13809
11000,0.191204,0.692442,13918
11500,0.192226,0.692738,14020
12000,0.185116,0.696307,14123
12500,0.182512,0.698787,14225
13000,0.176541,0.705626,14330
13500,0.175009,0.705281,14434
14000,0.182867,0.693766,14538
14500,0.170593,0.699835,14640
15000,0.162469,0.705906,14744
15500,0.154991,0.714550,14848
16000,0.141271,0.735986,14949
16500,0.106450,0.846413,15057
17000,0.092455,0.904588,15154
17500,0.083397,0.956199,15247
18000,0.080158,0.969224,15342
18500,0.078434,0.977293,15437
19000,0.078400,0.978804,15532
19500,0.077837,0.980598,15650
20000,0.077970,0.980439,15754
