step,val_residual_mse,eta_fit,bc_rmse,wall_sec
500,0.000267,1.003198,3.139e-04,149
1000,0.000093,1.002405,2.502e-04,263
1500,0.000043,1.003208,1.533e-04,368
2000,0.000030,1.002193,3.098e-04,511
2500,0.000032,0.996536,2.606e-03,626
3000,0.000027,1.003030,2.295e-04,761
3500,0.000030,1.006906,9.228e-04,884
4000,0.000051,0.996099,7.167e-03,1020
4500,0.000018,0.999859,3.875e-04,1141
5000,0.000011,1.002405,7.617e-05,1272
5500,0.000010,1.001638,1.787e-04,1392
6000,0.000081,1.002858,2.522e-03,1513
6500,0.000008,1.001357,7.570e-05,1634
7000,0.000025,1.007923,6.770e-04,1751
7500,0.000006,1.002777,1.307e-04,1873
8000,0.000005,1.002106,8.851e-05,2009
8500,0.000030,1.001821,1.183e-03,2132
9000,0.000004,1.000931,2.467e-04,2265
9500,0.000017,1.002295,1.002e-03,2403
10000,0.000017,1.005874,5.138e-04,2518
10500,0.000003,1.002350,4.330e-05,2623
11000,0.000003,1.003276,6.777e-05,2726
11500,0.000003,1.002151,9.066e-05,2777
12000,0.000003,1.002966,1.098e-04,2831
12500,0.000018,1.008454,1.635e-03,2896
13000,0.000002,1.002474,3.547e-05,2979
13500,0.000005,1.005347,3.545e-04,3082
14000,0.000003,1.002869,1.364e-04,3180
14500,0.000001,1.002448,3.767e-05,3281
15000,0.000001,1.002107,7.875e-05,3384
15500,0.000001,1.003023,2.965e-05,3490
16000,0.000001,1.002666,5.121e-05,3593
16500,0.000001,1.002154,4.051e-05,3697
17000,0.000001,1.002796,2.069e-05,3800
17500,0.000001,1.002962,2.348e-05,3904
18000,0.000001,1.002858,1.662e-05,4007
18500,0.000001,1.002721,1.264e-05,4112
19000,0.000001,1.002818,1.490e-05,4228
19500,0.000001,1.002758,1.182e-05,4340
20000,0.000001,1.002756,1.218e-05,4453
