backend,seed,step,checkpoint_path,geometry_path,fem_result_path,valid_geometry,notes
mlp,0,0,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/checkpoints/model_step_0.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/geometry/checkpoint_0.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/result.json,True,
mlp,0,250,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/checkpoints/model_step_250.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/geometry/checkpoint_250.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/result.json,True,
mlp,0,500,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/checkpoints/model_step_500.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/geometry/checkpoint_500.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/result.json,True,
mlp,0,750,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/checkpoints/model_step_750.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/geometry/checkpoint_750.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/result.json,True,
mlp,0,999,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/checkpoints/model_step_999.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/geometry/checkpoint_999.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/mlp_seed0/result.json,True,
pixel,0,0,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/checkpoints/model_step_0.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/geometry/checkpoint_0.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/result.json,True,
pixel,0,250,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/checkpoints/model_step_250.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/geometry/checkpoint_250.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/result.json,True,
pixel,0,500,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/checkpoints/model_step_500.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/geometry/checkpoint_500.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/result.json,True,
pixel,0,750,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/checkpoints/model_step_750.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/geometry/checkpoint_750.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/result.json,True,
pixel,0,999,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/checkpoints/model_step_999.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/geometry/checkpoint_999.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pixel_seed0/result.json,True,
pig,0,0,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/checkpoints/model_step_0.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/geometry/checkpoint_0.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/result.json,True,
pig,0,250,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/checkpoints/model_step_250.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/geometry/checkpoint_250.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/result.json,True,
pig,0,500,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/checkpoints/model_step_500.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/geometry/checkpoint_500.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/result.json,True,
pig,0,750,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/checkpoints/model_step_750.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/geometry/checkpoint_750.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/result.json,True,
pig,0,999,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/checkpoints/model_step_999.pt,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/geometry/checkpoint_999.npz,/Users/georgeliao/Desktop/Digitised Notes/Machine Learning/Deep Learning/SPINN Project/SPINN/spinn/results/joint/pig_seed0/result.json,True,
